time,insertion_speed,insertion,rotation_deg,tip_x,tip_y,tip_z,tip_qx,tip_qy,tip_qz,tip_qw,tip_wall_force_x,tip_wall_force_y,tip_wall_force_z,tip_wall_force_modulus,tip_target_distance
1.716,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.722,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.728,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.734,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.74,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.746,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.752,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.758,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.764,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.77,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.776,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.782,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.788,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.794,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.8,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.806,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.812,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.818,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.824,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.83,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.836,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.842,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.848,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.854,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.86,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.866,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.872,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.878,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.884,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.89,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.896,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.902,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.908,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.914,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.92,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.926,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.932,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.938,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.944,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.95,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.956,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.962,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.968,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.974,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.98,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.986,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.992,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
1.998,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.004,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.01,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
